1513866118.390773 server started (5930): version 2.6, socket /private/tmp/tmux-501/default, protocol 8
1513866118.390834 on Darwin 17.3.0 Darwin Kernel Version 17.3.0: Thu Nov  9 18:09:22 PST 2017; root:xnu-4570.31.3~1/RELEASE_X86_64; libevent 2.1.8-stable (select)
1513866118.392480 add peer 0x7ffe09011a00: 9 (0x7ffe09011000)
1513866118.392514 new client 0x7ffe09011000
1513866118.392628 loading /usr/local/etc/tmux.conf
1513866118.392715 loading /Users/shriyeshpujari/.tmux.conf
1513866118.392756 server loop enter
1513866118.392906 peer 0x7ffe09011a00 message 100
1513866118.392929 client 0x7ffe09011000 IDENTIFY_FLAGS 0x10000
1513866118.392941 peer 0x7ffe09011a00 message 101
1513866118.392953 client 0x7ffe09011000 IDENTIFY_TERM xterm-256color
1513866118.392966 peer 0x7ffe09011a00 message 102
1513866118.393003 client 0x7ffe09011000 IDENTIFY_TTYNAME /dev/ttys000
1513866118.393018 peer 0x7ffe09011a00 message 108
1513866118.393033 client 0x7ffe09011000 IDENTIFY_CWD /Users/shriyeshpujari/repos/library
1513866118.393042 peer 0x7ffe09011a00 message 104
1513866118.393050 client 0x7ffe09011000 IDENTIFY_STDIN 7
1513866118.393057 peer 0x7ffe09011a00 message 107
1513866118.393065 client 0x7ffe09011000 IDENTIFY_CLIENTPID 5928
1513866118.393073 peer 0x7ffe09011a00 message 105
1513866118.393091 client 0x7ffe09011000 IDENTIFY_ENVIRON TMPDIR=/var/folders/4x/q28qp2m17ns5q7bhhz2c5w1c0000gn/T/
1513866118.393107 peer 0x7ffe09011a00 message 105
1513866118.393117 client 0x7ffe09011000 IDENTIFY_ENVIRON XPC_FLAGS=0x0
1513866118.393125 peer 0x7ffe09011a00 message 105
1513866118.393135 client 0x7ffe09011000 IDENTIFY_ENVIRON Apple_PubSub_Socket_Render=/private/tmp/com.apple.launchd.5GIGg7ZhOK/Render
1513866118.393143 peer 0x7ffe09011a00 message 105
1513866118.393152 client 0x7ffe09011000 IDENTIFY_ENVIRON TERM_PROGRAM_VERSION=400
1513866118.393160 peer 0x7ffe09011a00 message 105
1513866118.393168 client 0x7ffe09011000 IDENTIFY_ENVIRON LC_CTYPE=UTF-8
1513866118.393176 peer 0x7ffe09011a00 message 105
1513866118.393185 client 0x7ffe09011000 IDENTIFY_ENVIRON TERM_PROGRAM=Apple_Terminal
1513866118.393198 peer 0x7ffe09011a00 message 105
1513866118.393213 client 0x7ffe09011000 IDENTIFY_ENVIRON XPC_SERVICE_NAME=0
1513866118.393227 peer 0x7ffe09011a00 message 105
1513866118.393237 client 0x7ffe09011000 IDENTIFY_ENVIRON TERM_SESSION_ID=B5424330-89CA-47F1-8E8F-072406A9882F
1513866118.393245 peer 0x7ffe09011a00 message 105
1513866118.393258 client 0x7ffe09011000 IDENTIFY_ENVIRON SSH_AUTH_SOCK=/private/tmp/com.apple.launchd.bEu4cP2MaY/Listeners
1513866118.393267 peer 0x7ffe09011a00 message 105
1513866118.393279 client 0x7ffe09011000 IDENTIFY_ENVIRON TERM=xterm-256color
1513866118.393289 peer 0x7ffe09011a00 message 105
1513866118.393298 client 0x7ffe09011000 IDENTIFY_ENVIRON SHELL=/bin/zsh
1513866118.393306 peer 0x7ffe09011a00 message 105
1513866118.393319 client 0x7ffe09011000 IDENTIFY_ENVIRON HOME=/Users/shriyeshpujari
1513866118.393332 peer 0x7ffe09011a00 message 105
1513866118.393341 client 0x7ffe09011000 IDENTIFY_ENVIRON LOGNAME=shriyeshpujari
1513866118.393349 peer 0x7ffe09011a00 message 105
1513866118.393358 client 0x7ffe09011000 IDENTIFY_ENVIRON USER=shriyeshpujari
1513866118.393366 peer 0x7ffe09011a00 message 105
1513866118.393381 client 0x7ffe09011000 IDENTIFY_ENVIRON PATH=/Users/shriyeshpujari/.rvm/gems/ruby-2.4.2/bin:/Users/shriyeshpujari/.rvm/gems/ruby-2.4.2@global/bin:/Users/shriyeshpujari/.rvm/rubies/ruby-2.4.2/bin:/usr/local/bin:/usr/bin:/bin:/usr/sbin:/sbin:/Users/shriyeshpujari/.rvm/bin
1513866118.393394 peer 0x7ffe09011a00 message 105
1513866118.393408 client 0x7ffe09011000 IDENTIFY_ENVIRON SHLVL=1
1513866118.393417 peer 0x7ffe09011a00 message 105
